eventID,thickness_um,edep_keV
280,3,2312.91
632,3,2309.36
653,3,1128.81
1281,3,2300.66
2029,3,1391.49
2213,3,1297.67
2544,3,1739.45
2667,3,2318.86
2846,3,920.307
3545,3,1103.14
3620,3,1970.04
3870,3,2317.75
3911,3,969.205
4002,3,1384.86
5888,3,2310.6
5990,3,2274.98
6780,3,1044.25
6951,3,2308.21
7708,3,2311.38
7905,3,1868.49
8345,3,2169.28
10139,3,2319.29
10409,3,2317.2
10615,3,1360.31
10671,3,879.012
10750,3,903.391
11348,3,1936.54
11782,3,2312.5
12223,3,1449.01
12455,3,1202.32
12579,3,2318.9
13420,3,2310.66
13548,3,2310.9
14090,3,1393.57
14246,3,2312.91
14355,3,1085.37
14738,3,1590.99
14894,3,1998.76
15596,3,1331.93
15812,3,1231.73
15834,3,2336.85
15954,3,2117.17
15994,3,1229.6
16167,3,2307.9
16970,3,2116.7
17245,3,2312.91
17684,3,1381.63
17856,3,1869.74
18001,3,1561.37
18328,3,1250.65
18495,3,1014.11
18685,3,1948.97
18794,3,1347.22
20554,3,1559.34
21027,3,1543.88
21170,3,2175.36
21517,3,956.965
23018,3,1301.48
23160,3,2176.32
23286,3,2317.84
24687,3,1676.16
24739,3,2312.69
24753,3,2005.93
24981,3,1868.56
26151,3,2314.69
27228,3,2301.98
27311,3,1324.86
27726,3,1689.61
27795,3,1131.62
28474,3,2309.42
28685,3,896.977
29420,3,1650.65
29655,3,1145.05
30593,3,2199.15
31185,3,2313.76
31247,3,1713.1
31413,3,2315.64
31976,3,2165.99
31989,3,2311.37
33118,3,2312.42
33509,3,1339.39
33731,3,2312.91
33753,3,1489
33858,3,2303.94
34566,3,1398.96
34765,3,2314.89
34871,3,2315.32
34940,3,942.713
35429,3,2318.63
35442,3,2311.12
35978,3,1350.12
36020,3,1448.17
36357,3,2314.37
36418,3,965.433
36987,3,1216.71
37104,3,1572.71
37986,3,2314.87
38144,3,1693.32
38367,3,1140.36
38449,3,2790.12
38666,3,984.351
38884,3,1147.86
39175,3,1753.37
39998,3,1859.43
40757,3,1234.63
40918,3,1237.74
40994,3,900.013
41804,3,2319.41
41951,3,1699.7
42079,3,1937.47
42128,3,2312.91
42223,3,1008.72
42245,3,1857.77
42270,3,1614.85
42356,3,1779.33
42954,3,1271.12
43054,3,2313.54
43306,3,1121.07
43477,3,2192.12
43835,3,2205.73
43893,3,1144.06
44341,3,1033.1
45084,3,2311.98
45651,3,905.595
46029,3,1005.16
46031,3,1745.47
47120,3,1573.48
48166,3,2308.62
48311,3,1647.46
48460,3,2310.87
49206,3,1404.08
49220,3,2239.21
49822,3,2112.73
51117,3,2312.48
51470,3,1716.91
51772,3,841.595
51839,3,954.995
52235,3,1312.67
53112,3,1744.08
53191,3,1293.09
53398,3,2312.91
53431,3,1513.75
54471,3,1704.86
54494,3,1235.88
54546,3,952.277
54790,3,2311.42
55168,3,2312.11
55186,3,2626.86
55360,3,1429.65
55419,3,906.282
55742,3,964.569
56166,3,1829.32
56270,3,946.506
56366,3,2063.74
56842,3,2313.81
57178,3,2319.65
57877,3,1695.44
57912,3,1241.06
58605,3,1158.53
58991,3,2790.12
59616,3,2311.83
59787,3,1617.71
60451,3,1074.31
61120,3,1200.16
63540,3,2179.24
65383,3,1623.17
66268,3,1092.74
66518,3,1019.8
67616,3,1393.39
67947,3,1706.65
67991,3,1362.28
68133,3,1660.53
68244,3,2311.54
68433,3,1557.79
68978,3,2305.65
69484,3,2311.47
70018,3,975.474
70997,3,1307.76
71121,3,1103.22
72433,3,2304.97
72690,3,1300.59
72807,3,1080.63
73644,3,1954.27
74343,3,1242.37
74499,3,2310.28
77221,3,1623.5
77438,3,1410.01
78001,3,872.168
79565,3,1330.65
79842,3,1869.68
80070,3,1406.24
80271,3,1607.44
80386,3,1401.13
80813,3,1639.5
81091,3,1015.77
81877,3,966.232
82128,3,2310.86
82192,3,1774.93
82377,3,973.716
82389,3,1753.18
82779,3,1001.33
83243,3,2257.28
83719,3,2312.66
84535,3,2316.31
84602,3,1670.88
86373,3,840.023
87182,3,1902.73
87661,3,1373.53
87843,3,1526.64
87973,3,1264.29
88040,3,980.088
88292,3,2034.18
88352,3,1045.41
88545,3,869.171
88865,3,951.814
89520,3,887.651
89783,3,1413.79
90668,3,2375.6
91401,3,2319.72
92063,3,1453.07
92224,3,2312.56
92801,3,2696.6
92827,3,896.575
92832,3,1559.6
93303,3,1669.77
94125,3,1717.35
94310,3,2241.45
94400,3,2313.25
95016,3,2219.57
95403,3,2207.36
95992,3,1058.99
96211,3,1019.42
96251,3,2067.29
96590,3,2318.4
96731,3,2005.26
97514,3,1224.47
98056,3,2315.99
98358,3,1767.8
99005,3,1187.42
99134,3,1968.58
99955,3,1796.86
