eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
0,275,1,2.5,4356.88,-1997.52,0,0,55.0417
5,275,1,2.5,2951.16,-1275.99,0,0,209.975
15,275,1,2.5,3895.03,-1681.76,0,0,60.3637
18,275,1,2.5,2304.29,-4916.72,0,0,109.527
20,275,1,2.5,-60.573,3694.15,0,0,142.347
22,275,1,2.5,3217.37,2324.47,0,0,268.324
37,275,1,2.5,3292.74,173.144,0,0,175.323
38,275,1,2.5,-4259.65,-149.41,0,0,139.644
46,275,1,2.5,-2520.75,-47.5997,166.724,193.791,48.6839
49,275,1,2.5,-124.297,2889.84,0,0,63.5435
56,275,1,2.5,-1935.05,3125.84,0,0,273.87
60,275,1,2.5,2217.44,-122.116,0,0,242.545
61,275,1,2.5,-3244.77,-3347.7,0,0,261.007
72,275,1,2.5,-1311.45,3941.56,0,0,151.337
79,275,1,2.5,-3034.35,3401.7,0,0,244.712
90,275,1,2.5,1339.68,-2864.71,0,0,16.8736
91,275,1,2.5,542.624,-4346.17,0,0,72.8545
92,275,1,2.5,-1498.03,1744.32,0,0,188.138
93,275,1,2.5,-3843.33,-3482.23,0,0,108.893
101,275,1,2.5,-4843,4773.12,0,0,41.9439
102,275,1,2.5,-682.083,75.2388,-163.667,552.839,25.4355
110,275,1,2.5,-1426.09,271.923,0,0,168.144
112,275,1,2.5,1014.34,-2757.65,0,0,126.456
115,275,1,2.5,-3518.77,-795.913,0,0,226.085
117,275,1,2.5,-1188.33,2715.64,0,0,238.108
119,275,1,2.5,846.979,-1065.24,0,0,187.82
122,275,1,2.5,-776.06,3311.14,0,0,1.11893
128,275,1,2.5,-2157.38,1999.37,0,0,174.31
131,275,1,2.5,-4923.52,1865.1,0,0,222.89
132,275,1,2.5,-1795.34,4527.91,0,0,20.516
138,275,1,2.5,-1929.41,1573.33,0,0,188.62
146,275,1,2.5,-690.876,3483.04,0,0,168.346
149,275,1,2.5,3733.33,2962.82,0,0,232.738
156,275,1,2.5,991.754,-4180.99,0,0,55.7435
158,275,1,2.5,4553.45,-3515.15,0,0,178.542
172,275,1,2.5,264.367,2616.16,0,0,76.8213
185,275,1,2.5,3489.05,2070.58,0,0,236.757
196,275,1,2.5,3824.15,-3278.71,0,0,241.352
201,275,1,2.5,-4081.07,-1798.66,0,0,132.781
204,275,1,2.5,742.52,2265.82,0,0,147.606
205,275,1,2.5,3340.87,3073.09,0,0,151.18
206,275,1,2.5,-2503.17,-3421.37,0,0,240.784
207,275,1,2.5,2710.14,4172.08,0,0,245.661
208,275,1,2.5,2175.72,-2818.59,0,0,169.094
209,275,1,2.5,1191.18,2969.7,0,0,94.8172
223,275,1,2.5,-194.936,565.548,0,0,109.959
238,275,1,2.5,-2404.38,-3616.48,0,0,82.1656
242,275,1,2.5,-637.317,4803.32,0,0,228.523
260,275,1,2.5,-2352.18,2704.95,0,0,105.586
267,275,1,2.5,-2053.12,-1599.75,0,0,182.296
269,275,1,2.5,-3536.09,-674.84,0,0,148.774
274,275,1,2.5,-2973.45,-3263.3,0,0,116.661
276,275,1,2.5,-2494.19,-4268.33,0,0,62.0258
285,275,1,2.5,-4119.16,-1920.62,0,0,192.652
287,275,1,2.5,1898.68,-1977.32,0,0,3.90633
288,275,1,2.5,184.215,604.445,0,0,43.3271
290,275,1,2.5,3532.9,446.351,0,0,229.925
297,275,1,2.5,-2220.52,-2247.37,0,0,207.06
301,275,1,2.5,1358.23,1075.37,0,0,228.535
307,275,1,2.5,4157.4,-18.2985,0,0,271.607
317,275,1,2.5,1689.67,4881.05,0,0,69.4768
320,275,1,2.5,-4269.09,-3315.04,0,0,211.055
322,275,1,2.5,1029.42,-1709.54,0,0,156.867
326,275,1,2.5,3078.38,-4798.1,0,0,35.9878
327,275,1,2.5,3785.93,-1242.61,0,0,230.253
