thickness_um,n_incident,n_absorb,n_transmit,total_neutron_track_length_um,sigma_eff_mode,sigma_eff_per_um,sigma_eff_per_cm,sigma_eff_manual_input_per_um,sigma_eff_manual_input_per_cm,absorb_efficiency,transmission_efficiency,other_loss_efficiency,attenuation
1,100000,77,99918,99978.9,geant4_default_hadronic,0.000770162,7.70162,0,0,0.00077,0.99918,5e-05,0.00082
2,100000,158,99831,199904,geant4_default_hadronic,0.000790378,7.90378,0,0,0.00158,0.99831,0.00011,0.00169
3,100000,241,99744,299710,geant4_default_hadronic,0.000804111,8.04111,0,0,0.00241,0.99744,0.00015,0.00256
5,100000,370,99609,499354,geant4_default_hadronic,0.000740957,7.40957,0,0,0.0037,0.99609,0.00021,0.00391
10,100000,737,99235,997951,geant4_default_hadronic,0.000738513,7.38513,0,0,0.00737,0.99235,0.00028,0.00765
15,100000,1145,98795,1.49556e+06,geant4_default_hadronic,0.0007656,7.656,0,0,0.01145,0.98795,0.0006,0.01205
20,100000,1560,98367,1.993e+06,geant4_default_hadronic,0.000782738,7.82738,0,0,0.0156,0.98367,0.00073,0.01633
30,100000,2233,97674,2.97643e+06,geant4_default_hadronic,0.000750227,7.50227,0,0,0.02233,0.97674,0.00093,0.02326
40,100000,3100,96783,3.95933e+06,geant4_default_hadronic,0.000782961,7.82961,0,0,0.031,0.96783,0.00117,0.03217
50,100000,3793,96046,4.93126e+06,geant4_default_hadronic,0.000769174,7.69174,0,0,0.03793,0.96046,0.00161,0.03954
60,100000,4512,95311,5.90492e+06,geant4_default_hadronic,0.000764109,7.64109,0,0,0.04512,0.95311,0.00177,0.04689
70,100000,5193,94605,6.87483e+06,geant4_default_hadronic,0.000755365,7.55365,0,0,0.05193,0.94605,0.00202,0.05395
80,100000,5846,93908,7.82834e+06,geant4_default_hadronic,0.000746773,7.46773,0,0,0.05846,0.93908,0.00246,0.06092
90,100000,6596,93142,8.78839e+06,geant4_default_hadronic,0.000750535,7.50535,0,0,0.06596,0.93142,0.00262,0.06858
100,100000,7509,92233,9.72086e+06,geant4_default_hadronic,0.000772462,7.72462,0,0,0.07509,0.92233,0.00258,0.07767
125,100000,9158,90461,1.20474e+07,geant4_default_hadronic,0.000760166,7.60166,0,0,0.09158,0.90461,0.00381,0.09539
150,100000,10979,88612,1.43592e+07,geant4_default_hadronic,0.000764596,7.64596,0,0,0.10979,0.88612,0.00409,0.11388
175,100000,12769,86776,1.66261e+07,geant4_default_hadronic,0.000768011,7.68011,0,0,0.12769,0.86776,0.00455,0.13224
200,100000,14130,85366,1.88346e+07,geant4_default_hadronic,0.000750215,7.50215,0,0,0.1413,0.85366,0.00504,0.14634
225,100000,15990,83483,2.10355e+07,geant4_default_hadronic,0.000760142,7.60142,0,0,0.1599,0.83483,0.00527,0.16517
250,100000,17549,81829,2.31355e+07,geant4_default_hadronic,0.000758533,7.58533,0,0,0.17549,0.81829,0.00622,0.18171
275,100000,19076,80271,2.52847e+07,geant4_default_hadronic,0.000754448,7.54448,0,0,0.19076,0.80271,0.00653,0.19729
300,100000,20808,78533,2.73204e+07,geant4_default_hadronic,0.000761629,7.61629,0,0,0.20808,0.78533,0.00659,0.21467
325,100000,22301,77032,2.93831e+07,geant4_default_hadronic,0.000758972,7.58972,0,0,0.22301,0.77032,0.00667,0.22968
350,100000,23617,75621,3.13903e+07,geant4_default_hadronic,0.000752367,7.52367,0,0,0.23617,0.75621,0.00762,0.24379
375,100000,25132,74100,3.33258e+07,geant4_default_hadronic,0.000754131,7.54131,0,0,0.25132,0.741,0.00768,0.259
400,100000,26729,72453,3.51797e+07,geant4_default_hadronic,0.000759785,7.59785,0,0,0.26729,0.72453,0.00818,0.27547
500,100000,32126,66945,4.25985e+07,geant4_default_hadronic,0.000754157,7.54157,0,0,0.32126,0.66945,0.00929,0.33055
700,100000,42396,56512,5.5434e+07,geant4_default_hadronic,0.000764801,7.64801,0,0,0.42396,0.56512,0.01092,0.43488
1000,100000,54088,44598,7.1719e+07,geant4_default_hadronic,0.000754165,7.54165,0,0,0.54088,0.44598,0.01314,0.55402
