eventID,thickness_um,edep_keV
27,90,2318.61
51,90,2311.66
69,90,2312.91
72,90,2314.97
77,90,2315.74
83,90,2311.93
85,90,2319.11
99,90,2319.57
111,90,2312.91
126,90,2352.46
131,90,2312.9
132,90,2309.73
146,90,2312.91
147,90,2311.48
166,90,1444.2
177,90,2315.69
185,90,2314.72
187,90,2312.91
192,90,2318.06
196,90,2317.97
199,90,2318.14
202,90,2312.91
223,90,2312.91
224,90,2312.9
230,90,2317.53
234,90,2313.03
244,90,2311.66
250,90,2312.91
256,90,2314.42
279,90,2318.94
290,90,2312.91
309,90,2313.68
319,90,2316.62
332,90,1188.3
335,90,2148.88
356,90,2318.76
366,90,2317.27
393,90,2312.91
400,90,2315.5
426,90,2315.78
436,90,2313.15
468,90,2315.29
480,90,2315.84
492,90,2312.91
506,90,1360.29
512,90,2312.91
518,90,2312.91
532,90,2312.91
535,90,2312.91
601,90,2311.85
603,90,2317.45
636,90,2309.82
640,90,2317.06
662,90,2311.52
663,90,2319.79
664,90,2314.58
761,90,2314.11
784,90,2313.75
831,90,2316.87
840,90,1941.77
856,90,2311.18
857,90,2318.05
865,90,2315.32
866,90,2313.84
876,90,2312.91
878,90,2314.44
888,90,2312
901,90,2312.9
902,90,2312.91
907,90,2318.04
917,90,2314.35
918,90,2312.91
937,90,2312.91
980,90,2318.57
999,90,2318.19
1010,90,2311.06
1024,90,2311.67
1030,90,2312.91
1034,90,2316.79
1045,90,2317.6
1060,90,2319.34
1076,90,2312.79
1084,90,2312.04
1099,90,2311.73
1118,90,2315.24
1123,90,2314.6
1130,90,2312.91
1138,90,929.555
1140,90,2319.39
1144,90,2059.35
1152,90,2312.91
1159,90,2312.91
1162,90,2318.3
1185,90,2359.05
1196,90,2313.91
1198,90,2313.1
1204,90,2312.91
1215,90,2312.91
1228,90,2312.91
1239,90,2308.88
1255,90,2312.9
1260,90,2312.91
1290,90,2311.37
1316,90,2790.12
1321,90,2312.91
1345,90,2314.23
1347,90,2790.12
1352,90,2315.55
1356,90,2312.91
1384,90,2313.42
1399,90,2312
1404,90,2315.7
1411,90,2319.82
1434,90,2312.91
1451,90,2313.43
1452,90,2317.05
1498,90,2311.5
1525,90,2315.51
1535,90,2790.12
1571,90,2315.83
1592,90,2312.91
1593,90,2311.92
1598,90,2312.91
1610,90,2790.12
1613,90,2317.57
1627,90,2312.08
1645,90,2311.72
1654,90,2319.72
1655,90,1879.85
1658,90,2312.91
1675,90,2316.92
1679,90,2319.02
1694,90,2315.61
1709,90,2316.85
1713,90,2312.09
1735,90,2312.91
1738,90,2312.04
1750,90,2319.76
1765,90,2314.04
1770,90,2311.17
1834,90,2313.96
1838,90,2312.91
1907,90,2312.91
1940,90,2317.57
1964,90,2318.17
1971,90,1436.64
1979,90,2312.79
1996,90,2312.45
2003,90,2315.09
2015,90,2315.32
2035,90,2312.91
2036,90,2312.91
2041,90,2312.91
2064,90,2314.47
2072,90,2312.91
2075,90,2311.75
2105,90,2312.9
2140,90,2312.91
2149,90,2313.73
2169,90,2311.9
2184,90,2317.05
2202,90,2312.91
2243,90,2314.02
2251,90,2318.8
2288,90,2312.65
2293,90,2312.91
2302,90,2315.43
2306,90,2312.91
2319,90,2318.3
2323,90,2315.72
2329,90,2312.73
2345,90,2317.92
2393,90,2312.47
2446,90,2312.9
2452,90,2313.94
2453,90,2315.98
2481,90,2315.18
2492,90,2319.4
2507,90,1747.89
2525,90,2312.91
2528,90,2312.9
2559,90,2312.91
2564,90,2312.91
2567,90,2313.36
2578,90,2312.91
2582,90,1209.82
2588,90,2317.15
2608,90,2790.12
2617,90,2627.69
2631,90,2316.34
2634,90,2790.12
2635,90,2312.91
2648,90,2319.66
2653,90,2312.91
2654,90,2790.12
2660,90,2317.9
2666,90,2313.89
2682,90,2312.9
2689,90,2313.45
2701,90,2314.53
2721,90,2312.91
2727,90,2311.17
2738,90,2790.12
2748,90,2312.91
2761,90,2313.56
2778,90,2312.91
2783,90,2312.91
2790,90,2317.16
2793,90,2312.44
2794,90,1461.14
2804,90,2312.91
2813,90,2310.1
2816,90,2318.52
2824,90,2316.34
2826,90,2311.81
2833,90,2314.44
2852,90,1081.69
2875,90,2312.91
2877,90,2312.91
2897,90,2317.97
2914,90,2312.73
2927,90,2312.91
2946,90,2312.91
2960,90,2317.36
2967,90,2312.91
2976,90,2319.38
2977,90,2312.9
2986,90,2311.73
3004,90,2312.9
3053,90,2318.96
3055,90,2312.91
3068,90,2316.27
3090,90,2312.91
3102,90,2312.91
3115,90,2312.91
3123,90,1333.75
3125,90,2319.83
3134,90,2312.91
3152,90,2312.91
3168,90,2312.9
3174,90,2790.12
3180,90,2312.91
3195,90,2312.74
3213,90,2311.43
3234,90,2313.44
3264,90,2312.9
3269,90,2314.27
3283,90,2312.9
3306,90,2790.12
3317,90,2318.93
3324,90,2312.91
3343,90,2312.9
3348,90,2313.58
3361,90,2313.2
3374,90,2316.16
3381,90,2312.52
3401,90,2308.83
3426,90,2314.63
3488,90,2319.95
3496,90,2312.91
3509,90,2313.74
3516,90,2790.12
3555,90,2312.3
3574,90,2312.91
3584,90,2317.82
3586,90,2313.62
3588,90,2312.91
3599,90,2312.91
3601,90,2312.91
3606,90,2312.91
3608,90,2312.91
3609,90,2319.62
3610,90,2312.91
3623,90,2316.64
3629,90,2318.25
3631,90,2318.63
3653,90,2312.91
3679,90,2312.91
3690,90,2312.91
3718,90,2312.91
3733,90,2312.91
3742,90,2312.91
3759,90,2312.91
3761,90,2312.9
3806,90,2312.91
3837,90,2312.91
3839,90,2319.67
3846,90,2790.12
3864,90,2312.91
3870,90,2312.9
3883,90,2318.23
3897,90,2318.23
3911,90,2312.91
3912,90,2312.91
3918,90,2319.56
3929,90,2316.37
3930,90,2312.04
3959,90,2316.27
3961,90,2316.76
3964,90,2319.11
3995,90,2309.1
4010,90,2318.54
4025,90,2312.91
4037,90,2316.07
4040,90,2790.12
4049,90,2316.1
4052,90,2286.82
4074,90,2318.55
4089,90,2319.22
4110,90,2312.91
4148,90,2312.91
4158,90,2311.65
4171,90,2319.89
4173,90,2312.69
4178,90,2312.91
4181,90,2311.41
4201,90,2315.8
4209,90,2312.9
4230,90,2312.91
4232,90,2316.6
4246,90,2316.27
4276,90,2312.91
4277,90,2312.91
4282,90,2313.99
4283,90,2315.72
4297,90,2319.68
4315,90,2312.91
4319,90,2312.91
4329,90,2319.92
4346,90,2312.11
4390,90,2315.13
4421,90,2312.91
4426,90,2312.91
4441,90,2311.79
4442,90,2790.12
4467,90,2312.91
4469,90,2312.91
4484,90,2319.23
4495,90,2318.94
4541,90,2312.9
4563,90,2312.91
4574,90,2312.91
4613,90,2312.9
4614,90,2309.74
4621,90,2313.3
4643,90,2314.52
4650,90,2318.21
4668,90,2319.22
4678,90,2312.91
4695,90,2312.91
4703,90,2319.64
4728,90,2311.53
4754,90,2790.12
4771,90,2316.16
4790,90,2316.32
4810,90,2319.65
4817,90,2318.84
4823,90,2311
4834,90,2318.31
4847,90,2316.17
4854,90,2315.34
4861,90,2312.91
4877,90,2315.38
4882,90,2317.32
4898,90,2790.12
4905,90,2312.91
4924,90,2312.91
4943,90,2318.48
4968,90,2315.92
4969,90,2312.91
4993,90,2315.62
5015,90,1408.44
5020,90,2312.22
