eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
72,150,1,3,-2743.01,-1544.45,0,0,104.488
83,150,1,3,695.115,1211.55,0,0,110.793
89,150,1,3,-4391.56,3576.46,0,0,120.886
143,150,1,3,3321.24,-1026.86,-5.19127,1.99649,103.434
161,150,1,3,-1992.1,1260.47,0,0,67.2172
166,150,1,3,87.8084,2112.99,0,0,7.13562
193,150,1,3,894.019,-2894.27,0,0,73.4109
209,150,1,3,1250.28,3971.14,0,0,121.288
220,150,1,3,1509.5,3655.07,0,0,87.003
233,150,1,3,2191.78,-1787.46,0,0,86.1155
240,150,1,3,3569.04,-2360.59,0,0,44.3051
243,150,1,3,-2604.17,-2575.04,0,0,27.4011
253,150,1,3,1484.51,-2956.25,0,0,145.051
271,150,1,3,3278.71,-4479.99,0,0,26.648
286,150,1,3,-664.89,4416.4,0,0,125.477
290,150,1,3,4665.63,92.8886,0,0,16.5208
298,150,1,3,-4935.68,2586.43,0,0,7.64988
308,150,1,3,258.122,-4170.88,0,0,61.1606
322,150,1,3,4847.61,-3899.34,0,0,19.9265
331,150,1,3,-1147.34,-4777.68,0,0,111.839
335,150,1,3,-531.338,-422.661,0,0,67.9566
351,150,1,3,1005.69,360.682,0,0,27.0625
355,150,1,3,3697.89,-2937.5,0,0,127.994
374,150,1,3,4097.86,-4126.95,0,0,138.312
376,150,1,3,-3918.4,-2725.01,0,0,87.9702
405,150,1,3,-1850.61,-3541.93,0,0,37.7802
406,150,1,3,3089.34,584.154,0,0,122.28
425,150,1,3,-1772.73,1046.54,-7.62187,96.7366,93.47
427,150,1,3,2961.86,-1980.41,0,0,78.2902
438,150,1,3,-1629.35,-4896.06,0,0,86.3038
440,150,1,3,3116.01,3660.31,0,0,108.226
441,150,1,3,375.627,-2576.01,0,0,69.4127
455,150,1,3,4270.75,535.727,0,0,0.139939
457,150,1,3,-155.429,-2256.41,0,0,11.2706
467,150,1,3,4797.99,0.0719221,0,0,32.2278
477,150,1,3,1771.33,4752.37,0,0,82.9555
520,150,1,3,-1450.72,1557.13,0,0,82.3766
521,150,1,3,1723.48,-4483.53,0,0,46.6432
531,150,1,3,2484.34,-40.1985,0,0,34.6378
540,150,1,3,4635.65,4295.42,0,0,146.969
553,150,1,3,3789.68,-535.418,0,0,88.8558
557,150,1,3,4284.95,-3596.8,0,0,1.05639
560,150,1,3,-3719.28,252.114,0,0,6.03189
562,150,1,3,4545.73,1243.33,0,0,96.3808
579,150,1,3,2852.53,2697.31,0,0,106.087
580,150,1,3,-590.385,2006.61,0,0,145.19
594,150,1,3,-1761.12,-1573.52,0,0,4.96125
601,150,1,3,-2530.57,1206.17,0,0,140.687
606,150,1,3,-4435,-4066.85,0,0,52.5284
610,150,1,3,-1251.06,3732.76,0,0,70.0898
624,150,1,3,1655.75,-22.1538,0,0,34.6469
629,150,1,3,3322.82,1314.43,0,0,118.852
644,150,1,3,4973.8,1865.28,0,0,112.953
645,150,1,3,3232.09,-881.365,0,0,29.2595
658,150,1,3,4778.32,-1762.61,0,0,29.3198
660,150,1,3,-3156.29,1946.72,0,0,146.813
663,150,1,3,3824.86,-2961.22,0,0,68.6768
665,150,1,3,233.145,-2835,0,0,100.088
680,150,1,3,-2586.52,2432.33,0,0,10.8579
687,150,1,3,3386.42,4613.59,0,0,7.95309
689,150,1,3,-729.768,-233.33,0,0,115.93
702,150,1,3,4312.56,2080.23,0,0,16.0114
719,150,1,3,2968.79,-1470.97,0,0,142.399
732,150,1,3,-2353.88,3597.79,0,0,68.1665
739,150,1,3,2018.37,935.783,0,0,140.528
743,150,1,3,-1625.41,-1673.25,0,0,38.9344
744,150,1,3,-2809.03,2684.16,0,0,92.9926
749,150,1,3,1631.31,-104.26,0,0,128.151
752,150,1,3,-494.191,4108.16,0,0,33.9731
755,150,1,3,-1849.03,4067.02,0,0,130.551
759,150,1,3,2803.88,1004.08,0,0,90.2802
765,150,1,3,-4058.51,-3683.81,0,0,74.012
772,150,1,3,4782.94,-3305.24,0,0,10.1967
780,150,1,3,2538.47,2567.29,0,0,52.9829
785,150,1,3,-520.054,3627.76,0,0,124.264
805,150,1,3,-1150.55,-1473,0,0,111.136
816,150,1,3,-4737.73,-1730.4,0,0,11.7884
818,150,1,3,1635.63,2531.89,-18.0236,-137.855,24.7887
835,150,1,3,1955.47,1077.07,0,0,147.499
838,150,1,3,2592.62,652.371,0,0,18.3129
839,150,1,3,920.85,3038.62,0,0,91.6896
842,150,1,3,3243.43,-3451.22,0,0,63.6149
845,150,1,3,-4677.99,-2839.34,0,0,23.0971
850,150,1,3,-3010.79,-4287.37,0,0,66.0698
858,150,1,3,661.781,3296.75,0,0,2.72972
871,150,1,3,2523.27,-3728.17,5.79153,3.26764,44.7505
876,150,1,3,-4134.06,2898.03,0,0,42.9492
889,150,1,3,-1752.61,1862.08,0,0,103.071
905,150,1,3,4629.21,-1906.7,0,0,134.707
910,150,1,3,4570.34,2376.82,0,0,51.5774
911,150,1,3,2278.23,1819.99,0,0,14.8795
918,150,1,3,1483.31,-3971.76,0,0,18.2495
923,150,1,3,4377.83,2564.54,0,0,0.763034
935,150,1,3,3554.02,-404.411,0,0,79.8517
936,150,1,3,3152.84,2302.75,0,0,92.4545
937,150,1,3,-197.057,-4320.1,0,0,132.151
944,150,1,3,4855.2,-4282.48,0,0,69.9846
950,150,1,3,-2336.58,817.235,0,0,72.4352
965,150,1,3,228.232,-3435.39,0,0,36.3575
969,150,1,3,963.673,-3270.65,0,0,139.422
973,150,1,3,2093.53,4773.31,0,0,53.1902
981,150,1,3,-2657.6,3694.1,0,0,23.927
993,150,1,3,3841.9,-4007.85,0,0,111.965
1003,150,1,3,1746.01,-4842.6,0,0,53.9113
1004,150,1,3,161.18,-4813.85,0,0,140.099
1025,150,1,3,4054.98,2183.15,0,0,30.4164
1035,150,1,3,-3700.95,1556.86,0,0,62.0856
1043,150,1,3,1888.69,3852.62,0,0,93.0258
1060,150,1,3,1651,-847.893,0,0,82.172
1068,150,1,3,-3487.47,-4606.18,0,0,142.796
1073,150,1,3,-2550.79,1142.52,0,0,144.238
1085,150,1,3,1778.33,-3590.76,0,0,22.5416
1090,150,1,3,-4593.96,-714.379,0,0,48.7405
1104,150,1,3,3869.11,-2722.8,0,0,58.7002
1110,150,1,3,-4476.94,-3446.63,0,0,16.8126
1128,150,1,3,2685.25,3929.1,0,0,63.2442
1132,150,1,3,-2398.47,-3016.57,0,0,59.0829
1137,150,1,3,4869.13,1934.12,0,0,130.071
1140,150,1,3,3494.36,3165.48,0,0,34.0878
1143,150,1,3,1922.56,-104.989,0,0,5.48537
1155,150,1,3,983.889,2759.18,0,0,49.2065
1171,150,1,3,-3704.81,2921.71,0,0,72.4818
1182,150,1,3,-526.211,-1215.07,0,0,46.3204
1192,150,1,3,2524.49,-3823.06,0,0,38.3172
1200,150,1,3,-3327.83,2642.12,0,0,92.7602
1220,150,1,3,1887.48,257.08,0,0,8.48853
1229,150,1,3,1667.08,-1659.34,0,0,38.8343
1236,150,1,3,-1807.74,2859.65,0,0,71.4806
1246,150,1,3,-1801.8,854.632,0,0,35.2125
1253,150,1,3,1830.99,-1996.49,0,0,50.2535
1297,150,1,3,-159.614,-3441.65,0,0,103.242
1302,150,1,3,-714.518,-3605.31,177.966,-33.4449,63.04
