thickness_um,n_incident,n_absorb,n_transmit,total_neutron_track_length_um,sigma_eff_mode,sigma_eff_per_um,sigma_eff_per_cm,sigma_eff_manual_input_per_um,sigma_eff_manual_input_per_cm,absorb_efficiency,transmission_efficiency,other_loss_efficiency,attenuation
1,100000,70,99926,99981.2,geant4_default_hadronic,0.000700132,7.00132,0,0,0.0007,0.99926,4e-05,0.00074
2,100000,159,99837,199871,geant4_default_hadronic,0.000795513,7.95513,0,0,0.00159,0.99837,4e-05,0.00163
3,100000,200,99786,299756,geant4_default_hadronic,0.00066721,6.6721,0,0,0.002,0.99786,0.00014,0.00214
5,100000,342,99643,499312,geant4_default_hadronic,0.000684942,6.84942,0,0,0.00342,0.99643,0.00015,0.00357
10,100000,690,99283,997623,geant4_default_hadronic,0.000691644,6.91644,0,0,0.0069,0.99283,0.00027,0.00717
15,100000,1023,98924,1.49518e+06,geant4_default_hadronic,0.000684199,6.84199,0,0,0.01023,0.98924,0.00053,0.01076
20,100000,1362,98562,1.99375e+06,geant4_default_hadronic,0.000683133,6.83133,0,0,0.01362,0.98562,0.00076,0.01438
30,100000,2021,97883,2.98326e+06,geant4_default_hadronic,0.000677447,6.77447,0,0,0.02021,0.97883,0.00096,0.02117
40,100000,2668,97211,3.9653e+06,geant4_default_hadronic,0.000672836,6.72836,0,0,0.02668,0.97211,0.00121,0.02789
50,100000,3388,96448,4.94289e+06,geant4_default_hadronic,0.000685429,6.85429,0,0,0.03388,0.96448,0.00164,0.03552
60,100000,3970,95849,5.92728e+06,geant4_default_hadronic,0.000669785,6.69785,0,0,0.0397,0.95849,0.00181,0.04151
70,100000,4774,95022,6.88941e+06,geant4_default_hadronic,0.000692948,6.92948,0,0,0.04774,0.95022,0.00204,0.04978
80,100000,5250,94532,7.88322e+06,geant4_default_hadronic,0.000665971,6.65971,0,0,0.0525,0.94532,0.00218,0.05468
90,100000,6037,93703,8.81744e+06,geant4_default_hadronic,0.000684666,6.84666,0,0,0.06037,0.93703,0.0026,0.06297
100,100000,6603,93091,9.79123e+06,geant4_default_hadronic,0.000674379,6.74379,0,0,0.06603,0.93091,0.00306,0.06909
125,100000,8219,91463,1.21195e+07,geant4_default_hadronic,0.000678165,6.78165,0,0,0.08219,0.91463,0.00318,0.08537
150,100000,9850,89748,1.44307e+07,geant4_default_hadronic,0.000682572,6.82572,0,0,0.0985,0.89748,0.00402,0.10252
175,100000,11326,88185,1.67106e+07,geant4_default_hadronic,0.000677774,6.77774,0,0,0.11326,0.88185,0.00489,0.11815
200,100000,12684,86823,1.89803e+07,geant4_default_hadronic,0.000668273,6.68273,0,0,0.12684,0.86823,0.00493,0.13177
225,100000,14233,85223,2.12312e+07,geant4_default_hadronic,0.000670383,6.70383,0,0,0.14233,0.85223,0.00544,0.14777
250,100000,15588,83818,2.34235e+07,geant4_default_hadronic,0.000665484,6.65484,0,0,0.15588,0.83818,0.00594,0.16182
275,100000,17248,82134,2.55749e+07,geant4_default_hadronic,0.000674412,6.74412,0,0,0.17248,0.82134,0.00618,0.17866
300,100000,18628,80680,2.76676e+07,geant4_default_hadronic,0.000673279,6.73279,0,0,0.18628,0.8068,0.00692,0.1932
325,100000,20137,79160,2.97181e+07,geant4_default_hadronic,0.0006776,6.776,0,0,0.20137,0.7916,0.00703,0.2084
350,100000,21667,77568,3.18138e+07,geant4_default_hadronic,0.000681056,6.81056,0,0,0.21667,0.77568,0.00765,0.22432
375,100000,22913,76282,3.37557e+07,geant4_default_hadronic,0.00067879,6.7879,0,0,0.22913,0.76282,0.00805,0.23718
400,100000,24073,75072,3.58322e+07,geant4_default_hadronic,0.000671827,6.71827,0,0,0.24073,0.75072,0.00855,0.24928
500,100000,29185,69865,4.34936e+07,geant4_default_hadronic,0.000671018,6.71018,0,0,0.29185,0.69865,0.0095,0.30135
700,100000,38586,60229,5.72462e+07,geant4_default_hadronic,0.000674036,6.74036,0,0,0.38586,0.60229,0.01185,0.39771
1000,100000,50282,48317,7.45494e+07,geant4_default_hadronic,0.000674479,6.74479,0,0,0.50282,0.48317,0.01401,0.51683
