eventID,bn_wt,zns_wt,x_um,y_um,corr_x_um,corr_y_um,depth_um,alpha_len_um,li7_len_um,edep_keV
0,50,50,-6905.85,1742.28,0,0,73.2432,4.16529,2.00346,2311.51
1,50,50,-7256.66,6764.89,0,0,48.7766,4.16477,2.38278,2312.9
2,50,50,-489.341,-7721.31,0,0,387.855,4.16494,2.35949,2315.59
3,50,50,3498.81,-5654.27,0,0,109.173,4.16401,1.4148,2312.91
4,50,50,5826.38,-599.338,0,0,212.104,4.1648,1.81474,2311.69
5,50,50,8284.96,6684.58,0,0,17.8476,4.16476,1.41491,2312.91
6,50,50,2377.77,-1130.24,0,0,6.0539,4.16522,1.41625,2312.91
7,50,50,-88.5497,-7655.53,0,0,14.6795,4.16518,1.41491,2312.91
8,50,50,3416.06,-6979.46,0,0,17.5843,4.1645,1.70262,2312.9
9,50,50,9720.28,2494.94,0,0,19.7919,4.16482,2.17795,2312.91
10,50,50,-1455.52,-736.956,0,0,25.1138,4.16486,1.41459,2309.14
11,50,50,4130.88,-2526.76,0,0,80.3388,4.16507,1.41767,2314.33
12,50,50,9960.24,-2067.59,0,0,113.554,4.1641,2.42032,2315.98
13,50,50,763.772,-593.724,0,0,34.4122,4.16453,1.60957,2316.01
14,50,50,-9628.99,6416.46,0,0,18.0375,4.16462,1.41707,2312.43
15,50,50,3715.98,3080.43,0,0,44.1611,4.16496,1.41464,2312.91
16,50,50,2173.3,-5020.29,0,0,141.387,4.16528,1.41613,2312.91
17,50,50,8472.24,-3611.24,0,0,26.5089,4.16515,2.02444,2316.21
18,50,50,-2677.51,-913.916,0,0,28.6555,4.16482,1.95359,2313.29
19,50,50,-9290.88,-6453.78,0,0,21.0706,4.16509,1.41605,2312.91
20,50,50,-5976.69,-8638.69,0,0,83.2766,4.16472,1.41908,2318.26
21,50,50,9892.66,-293.616,0,0,51.319,4.16428,1.89202,2314.8
22,50,50,-5592.85,-2747.56,0,0,46.8893,4.16442,1.6586,2312.91
23,50,50,-9982.61,-619.81,0,0,149.512,4.16455,2.09156,2312.91
24,50,50,2266.97,3815.25,0,0,34.9264,4.16461,2.11553,2311.67
25,50,50,-4778.08,-6686.75,0,0,12.0278,4.16487,2.31431,2312.36
26,50,50,-3439.72,5907.28,0,0,38.6933,4.16472,2.10889,2312.37
27,50,50,-713.889,8064.87,0,0,44.0957,4.16388,1.81041,2312.9
28,50,50,7371.84,2784.36,0,0,36.2447,4.16494,2.25779,2315.61
29,50,50,-3145.32,4410.81,0,0,47.0167,4.16391,1.67229,2312.9
30,50,50,5095.02,-3534.72,0,0,14.0401,4.16486,2.33254,2312.91
31,50,50,-6148.3,812.422,0,0,50.9582,4.99992,2.20114,2790.12
32,50,50,7742.98,-7009.91,0,0,36.5222,4.16439,1.6165,2312.91
33,50,50,4239.71,-7904.13,0,0,64.7218,4.1648,1.70261,2312.91
34,50,50,-1216.7,5842.67,0,0,27.2749,4.16526,2.21782,2312.91
35,50,50,-2398.57,-7854.35,0,0,70.1997,4.16501,2.07353,2315.13
36,50,50,-1242.72,-6978.72,0,0,120.987,4.16495,1.90615,2312.91
37,50,50,8416.71,-9751.49,0,0,50.7887,4.16497,1.41936,2319.16
38,50,50,4584.3,-6342.05,0,0,21.9883,4.16453,1.4145,2312.91
39,50,50,8787.02,5845.29,0,0,23.5384,4.16446,1.41953,2321.8
40,50,50,1252.97,-3033.74,0,0,44.214,4.16473,2.34934,2311.16
41,50,50,2355.92,-9929.3,0,0,100.154,4.99914,2.31051,2790.12
42,50,50,-197.022,-5765.61,0,0,57.6768,4.16441,1.4172,2312.71
43,50,50,5283.81,1230.34,0,0,77.9985,4.16458,2.06365,2313.7
44,50,50,3621.41,-7043.31,0,0,6.05766,4.16448,1.41493,2312.91
45,50,50,3232.56,-7844.52,0,0,80.7562,4.16446,1.41723,2312.81
